Customer Code Unique|Volume Segment|Preferential Segment|City|Region|SR Tracking Code|Channel|Location type
1945|D|1|City 954|SOUTH|888|Channel 1|Location Subtype 1
1946|D|1|City 165|SOUTH|888|Channel 1|Location Subtype 1
1947|D|1|City 290|SOUTH|888|Channel 1|Location Subtype 1
1949|D|1|City 954|SOUTH|888|Channel 1|Location Subtype 1
1950|D|1|City 954|SOUTH|888|Channel 1|Location Subtype 1
1957|D|1|City 290|SOUTH|888|Channel 1|Location Subtype 1
1958|D|1|City 954|SOUTH|888|Channel 1|Location Subtype 1
1959|D|1|City 954|SOUTH|888|Channel 1|Location Subtype 1
1960|D|1|City 165|SOUTH|888|Channel 1|Location Subtype 1
1961|D|1|City 954|SOUTH|888|Channel 1|Location Subtype 1
1962|D|1|City 290|SOUTH|888|Channel 1|Location Subtype 1
1963|D|1|City 290|SOUTH|888|Channel 1|Location Subtype 1
1965|D|1|City 165|SOUTH|888|Channel 1|Location Subtype 1
1970|D|1|City 954|SOUTH|888|Channel 1|Location Subtype 1
1971|D|1|City 165|SOUTH|888|Channel 1|Location Subtype 1
1972|D|1|City 165|SOUTH|888|Channel 1|Location Subtype 1
1973|D|1|City 165|SOUTH|888|Channel 1|Location Subtype 1
1977|D|1|City 917|SOUTH|888|Channel 1|Location Subtype 1
1980|D|1|City 954|SOUTH|888|Channel 1|Location Subtype 1
1981|D|1|City 290|SOUTH|888|Channel 1|Location Subtype 1
1985|D|1|City 165|SOUTH|888|Channel 1|Location Subtype 1
1986|D|1|City 165|SOUTH|888|Channel 1|Location Subtype 1
1989|D|1|City 954|SOUTH|888|Channel 1|Location Subtype 1
1991|D|1|City 841|SOUTH|888|Channel 1|Location Subtype 1
1994|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
1995|D|1|City 753|SOUTH|888|Channel 1|Location Subtype 1
1996|D|1|City 1005|SOUTH|888|Channel 1|Location Subtype 1
1998|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
1999|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2001|D|1|City 753|SOUTH|888|Channel 1|Location Subtype 1
2003|D|1|City 677|SOUTH|888|Channel 1|Location Subtype 1
2005|D|1|City 272|SOUTH|888|Channel 1|Location Subtype 1
2006|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2007|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2008|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2009|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2010|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2011|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2012|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2013|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2016|D|1|City 242|SOUTH|888|Channel 1|Location Subtype 1
2017|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2018|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2019|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2020|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2021|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2025|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2026|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2027|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2029|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2030|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2031|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2035|D|1|City 753|SOUTH|888|Channel 1|Location Subtype 1
2037|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2039|D|1|City 272|SOUTH|888|Channel 1|Location Subtype 1
2043|D|1|City 532|SOUTH|888|Channel 1|Location Subtype 1
2045|D|1|City 726|SOUTH|888|Channel 1|Location Subtype 1
2046|D|1|City 531|SOUTH|888|Channel 1|Location Subtype 1
2048|D|1|City 1045|SOUTH|888|Channel 1|Location Subtype 1
2049|D|1|City 583|SOUTH|888|Channel 1|Location Subtype 1
2050|D|1|City 683|SOUTH|888|Channel 1|Location Subtype 1
2052|D|1|City 47|SOUTH|888|Channel 1|Location Subtype 1
2054|D|1|City 537|SOUTH|888|Channel 1|Location Subtype 1
2055|D|1|City 344|SOUTH|888|Channel 1|Location Subtype 1
2057|D|1|City 344|SOUTH|888|Channel 1|Location Subtype 1
2058|D|1|City 344|SOUTH|888|Channel 1|Location Subtype 1
2059|D|1|City 347|SOUTH|888|Channel 1|Location Subtype 1
2060|D|1|City 738|SOUTH|888|Channel 1|Location Subtype 1
2061|D|1|City 320|SOUTH|888|Channel 1|Location Subtype 1
2062|D|1|City 532|SOUTH|888|Channel 1|Location Subtype 1
2063|D|1|City 344|SOUTH|888|Channel 1|Location Subtype 1
2064|D|1|City 344|SOUTH|888|Channel 1|Location Subtype 1
2074|D|1|City 344|SOUTH|888|Channel 1|Location Subtype 1
2081|D|1|City 638|SOUTH|888|Channel 1|Location Subtype 1
2083|D|1|City 883|SOUTH|888|Channel 1|Location Subtype 1
2084|D|1|City 759|SOUTH|888|Channel 1|Location Subtype 1
2085|D|1|City 687|SOUTH|888|Channel 1|Location Subtype 1
2086|D|1|City 1050|SOUTH|888|Channel 1|Location Subtype 1
2087|D|1|City 881|SOUTH|888|Channel 1|Location Subtype 1
2088|D|1|City 563|SOUTH|888|Channel 1|Location Subtype 1
2094|D|1|City 839|SOUTH|888|Channel 1|Location Subtype 1
2095|D|1|City 759|SOUTH|888|Channel 1|Location Subtype 1
2096|D|1|City 229|SOUTH|888|Channel 1|Location Subtype 1
2097|D|1|City 229|SOUTH|888|Channel 1|Location Subtype 1
2098|D|1|City 617|SOUTH|888|Channel 1|Location Subtype 1
2099|D|1|City 120|SOUTH|888|Channel 1|Location Subtype 1
2100|D|1|City 881|SOUTH|888|Channel 1|Location Subtype 1
2101|D|1|City 617|SOUTH|888|Channel 1|Location Subtype 1
2106|D|1|City 1097|SOUTH|888|Channel 1|Location Subtype 1
2107|D|1|City 1005|SOUTH|888|Channel 1|Location Subtype 1
2109|D|1|City 823|SOUTH|888|Channel 1|Location Subtype 1
2110|D|1|City 617|SOUTH|888|Channel 1|Location Subtype 1
2112|D|1|City 396|SOUTH|888|Channel 1|Location Subtype 1
2113|D|1|City 704|SOUTH|888|Channel 1|Location Subtype 1
2115|D|1|City 759|SOUTH|888|Channel 1|Location Subtype 1
2116|D|1|City 126|SOUTH|888|Channel 1|Location Subtype 1
2118|D|1|City 365|SOUTH|888|Channel 1|Location Subtype 1
2120|D|1|City 179|SOUTH|888|Channel 1|Location Subtype 1
2121|D|1|City 583|SOUTH|888|Channel 1|Location Subtype 1
2125|D|1|City 917|SOUTH|888|Channel 1|Location Subtype 1
2126|D|1|City 653|SOUTH|888|Channel 1|Location Subtype 1
2127|D|1|City 290|SOUTH|888|Channel 1|Location Subtype 1
2131|D|1|City 1052|SOUTH|888|Channel 1|Location Subtype 1
2132|D|1|City 221|SOUTH|888|Channel 1|Location Subtype 1
2133|D|1|City 1086|SOUTH|888|Channel 1|Location Subtype 1
2134|D|1|City 1086|SOUTH|888|Channel 1|Location Subtype 1
2136|D|1|City 954|SOUTH|888|Channel 1|Location Subtype 1
2137|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2139|D|1|City 759|SOUTH|888|Channel 1|Location Subtype 1
2141|D|1|City 839|SOUTH|888|Channel 1|Location Subtype 1
2142|D|1|City 988|SOUTH|888|Channel 1|Location Subtype 1
2149|D|1|City 617|SOUTH|888|Channel 1|Location Subtype 1
2150|D|1|City 617|SOUTH|888|Channel 1|Location Subtype 1
2151|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
2160|D|1|City 735|SOUTH|888|Channel 1|Location Subtype 1
12304|D|1|City 175|SOUTH|888|Channel 1|Location Subtype 1
12306|D|1|City 485|SOUTH|888|Channel 1|Location Subtype 1
12307|D|1|City 283|SOUTH|888|Channel 1|Location Subtype 1
12308|D|1|City 283|SOUTH|888|Channel 1|Location Subtype 1
12309|D|1|City 869|SOUTH|888|Channel 1|Location Subtype 1
12314|D|1|City 1014|SOUTH|888|Channel 1|Location Subtype 1
12316|D|1|City 485|SOUTH|888|Channel 1|Location Subtype 1
12318|D|1|City 485|SOUTH|888|Channel 1|Location Subtype 1
12322|D|1|City 485|SOUTH|888|Channel 1|Location Subtype 1
12324|D|1|City 869|SOUTH|888|Channel 1|Location Subtype 1
12327|D|1|City 212|SOUTH|888|Channel 1|Location Subtype 1
12328|D|1|City 322|SOUTH|888|Channel 1|Location Subtype 1
12329|D|1|City 41|SOUTH|888|Channel 1|Location Subtype 1
12330|D|1|City 175|SOUTH|888|Channel 1|Location Subtype 1
12333|D|1|City 175|SOUTH|888|Channel 1|Location Subtype 1
12334|D|1|City 239|SOUTH|888|Channel 1|Location Subtype 1
12335|D|1|City 983|SOUTH|888|Channel 1|Location Subtype 1
12339|D|1|City 798|SOUTH|888|Channel 1|Location Subtype 1
12340|D|1|City 850|SOUTH|888|Channel 1|Location Subtype 1
12341|D|1|City 27|SOUTH|888|Channel 1|Location Subtype 1
12342|D|1|City 175|SOUTH|888|Channel 1|Location Subtype 1
12345|D|1|City 419|SOUTH|888|Channel 1|Location Subtype 1
12347|D|1|City 174|SOUTH|888|Channel 1|Location Subtype 1
12350|D|1|City 283|SOUTH|888|Channel 1|Location Subtype 1
12353|D|1|City 175|SOUTH|888|Channel 1|Location Subtype 1
12357|D|1|City 485|SOUTH|888|Channel 1|Location Subtype 1
12359|D|1|City 175|SOUTH|888|Channel 1|Location Subtype 1
12364|D|1|City 595|SOUTH|888|Channel 1|Location Subtype 1
12372|D|1|City 1020|SOUTH|888|Channel 1|Location Subtype 1
12377|D|1|City 879|SOUTH|888|Channel 1|Location Subtype 1
12378|D|1|City 595|SOUTH|888|Channel 1|Location Subtype 1
12379|D|1|City 78|SOUTH|888|Channel 1|Location Subtype 1
12386|D|1|City 1003|SOUTH|888|Channel 1|Location Subtype 1
12387|D|1|City 78|SOUTH|888|Channel 1|Location Subtype 1
12393|D|1|City 1031|SOUTH|888|Channel 1|Location Subtype 1
12394|D|1|City 1093|SOUTH|888|Channel 1|Location Subtype 1
12396|D|1|City 840|SOUTH|888|Channel 1|Location Subtype 1
12397|D|1|City 595|SOUTH|888|Channel 1|Location Subtype 1
12400|D|1|City 1003|SOUTH|888|Channel 1|Location Subtype 1
12403|D|1|City 552|SOUTH|888|Channel 1|Location Subtype 1
12404|D|1|City 595|SOUTH|888|Channel 1|Location Subtype 1
12409|D|1|City 105|SOUTH|888|Channel 1|Location Subtype 1
12410|D|1|City 595|SOUTH|888|Channel 1|Location Subtype 1
12411|D|1|City 236|SOUTH|888|Channel 1|Location Subtype 1
12412|D|1|City 882|SOUTH|888|Channel 1|Location Subtype 1
12413|D|1|City 269|SOUTH|888|Channel 1|Location Subtype 1
12419|D|1|City 487|SOUTH|888|Channel 1|Location Subtype 1
12423|D|1|City 432|SOUTH|888|Channel 1|Location Subtype 1
12424|D|1|City 1|SOUTH|888|Channel 1|Location Subtype 1
12428|D|1|City 64|SOUTH|888|Channel 1|Location Subtype 1
12429|D|1|City 1054|SOUTH|888|Channel 1|Location Subtype 1
12430|D|1|City 1054|SOUTH|888|Channel 1|Location Subtype 1
12431|D|1|City 1054|SOUTH|888|Channel 1|Location Subtype 1
12435|D|1|City 565|SOUTH|888|Channel 1|Location Subtype 1
12436|D|1|City 63|SOUTH|888|Channel 1|Location Subtype 1
12439|D|1|City 857|SOUTH|888|Channel 1|Location Subtype 1
12441|D|1|City 63|SOUTH|888|Channel 1|Location Subtype 1
12445|D|1|City 604|SOUTH|888|Channel 1|Location Subtype 1
12451|D|1|City 180|SOUTH|888|Channel 1|Location Subtype 1
12456|D|1|City 505|SOUTH|888|Channel 1|Location Subtype 1
12457|D|1|City 505|SOUTH|888|Channel 1|Location Subtype 1
12458|D|1|City 505|SOUTH|888|Channel 1|Location Subtype 1
12459|D|1|City 63|SOUTH|888|Channel 1|Location Subtype 1
12460|D|1|City 63|SOUTH|888|Channel 1|Location Subtype 1
12461|D|1|City 63|SOUTH|888|Channel 1|Location Subtype 1
12462|D|1|City 63|SOUTH|888|Channel 1|Location Subtype 1
12467|D|1|City 235|SOUTH|888|Channel 1|Location Subtype 1
12470|D|1|City 1054|SOUTH|888|Channel 1|Location Subtype 1
12472|D|1|City 895|SOUTH|888|Channel 1|Location Subtype 1
12476|D|1|City 657|SOUTH|888|Channel 1|Location Subtype 1
12478|D|1|City 661|SOUTH|888|Channel 1|Location Subtype 1
12482|D|1|City 235|SOUTH|888|Channel 1|Location Subtype 1
12486|D|1|City 235|SOUTH|888|Channel 1|Location Subtype 1
12489|D|1|City 799|SOUTH|888|Channel 1|Location Subtype 1
12490|D|1|City 895|SOUTH|888|Channel 1|Location Subtype 1
12495|D|1|City 896|SOUTH|888|Channel 1|Location Subtype 1
12497|D|1|City 983|SOUTH|888|Channel 1|Location Subtype 1
12499|D|1|City 283|SOUTH|888|Channel 1|Location Subtype 1
12507|D|1|City 63|SOUTH|888|Channel 1|Location Subtype 1
12510|D|1|City 111|SOUTH|888|Channel 1|Location Subtype 1
12511|D|1|City 283|SOUTH|888|Channel 1|Location Subtype 1
12513|D|1|City 105|SOUTH|888|Channel 1|Location Subtype 1
12515|D|1|City 589|SOUTH|888|Channel 1|Location Subtype 1
9756|D|1|City 253|SOUTH|888|Channel 1|Location Subtype 1
9759|D|1|City 218|SOUTH|888|Channel 1|Location Subtype 1
9763|D|1|City 646|SOUTH|888|Channel 1|Location Subtype 1
9764|D|1|City 1005|SOUTH|888|Channel 1|Location Subtype 1
9765|D|1|City 1005|SOUTH|888|Channel 1|Location Subtype 1
9768|D|1|City 317|SOUTH|888|Channel 1|Location Subtype 1
9769|D|1|City 903|SOUTH|888|Channel 1|Location Subtype 1
9778|D|1|City 167|SOUTH|888|Channel 1|Location Subtype 1
9787|D|1|City 24|SOUTH|888|Channel 1|Location Subtype 1
9789|D|1|City 24|SOUTH|888|Channel 1|Location Subtype 1
9798|D|1|City 24|SOUTH|888|Channel 1|Location Subtype 1
9800|D|1|City 24|SOUTH|888|Channel 1|Location Subtype 1
9803|D|1|City 139|SOUTH|888|Channel 1|Location Subtype 1
9805|D|1|City 234|SOUTH|888|Channel 1|Location Subtype 1
9808|D|1|City 24|SOUTH|888|Channel 1|Location Subtype 1
9730|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
9749|D|1|City 227|CENTER|888|Channel 1|Location Subtype 1
9819|D|1|City 24|SOUTH|888|Channel 1|Location Subtype 1
12787|D|1|City 737|NORTH|888|Channel 1|Location Subtype 1
12788|D|1|City 361|NORTH|888|Channel 1|Location Subtype 1
12790|D|1|City 1052|NORTH|888|Channel 1|Location Subtype 1
12791|D|1|City 1072|NORTH|888|Channel 1|Location Subtype 1
12792|D|1|City 603|NORTH|888|Channel 1|Location Subtype 1
12797|D|1|City 414|NORTH|888|Channel 1|Location Subtype 1
12799|D|1|City 722|NORTH|888|Channel 1|Location Subtype 1
12801|D|1|City 722|NORTH|888|Channel 1|Location Subtype 1
12803|D|1|City 737|NORTH|888|Channel 1|Location Subtype 1
12810|D|1|City 48|NORTH|888|Channel 1|Location Subtype 1
12814|D|1|City 123|NORTH|888|Channel 1|Location Subtype 1
12816|D|1|City 123|NORTH|888|Channel 1|Location Subtype 1
12821|D|1|City 601|NORTH|888|Channel 1|Location Subtype 1
12825|D|1|City 601|NORTH|888|Channel 1|Location Subtype 1
12829|D|1|City 414|NORTH|888|Channel 1|Location Subtype 1
12832|D|1|City 414|NORTH|888|Channel 1|Location Subtype 1
12834|D|1|City 414|NORTH|888|Channel 1|Location Subtype 1
12842|D|1|City 123|NORTH|888|Channel 1|Location Subtype 1
12843|D|1|City 123|NORTH|888|Channel 1|Location Subtype 1
12845|D|1|City 36|NORTH|888|Channel 1|Location Subtype 1
12846|D|1|City 1076|NORTH|888|Channel 1|Location Subtype 1
12848|D|1|City 123|NORTH|888|Channel 1|Location Subtype 1
12852|D|1|City 308|NORTH|888|Channel 1|Location Subtype 1
12853|D|1|City 512|NORTH|888|Channel 1|Location Subtype 1
12854|D|1|City 147|NORTH|888|Channel 1|Location Subtype 1
12855|D|1|City 483|NORTH|888|Channel 1|Location Subtype 1
12857|D|1|City 535|NORTH|888|Channel 1|Location Subtype 1
12859|D|1|City 390|NORTH|888|Channel 1|Location Subtype 1
12860|D|1|City 621|NORTH|888|Channel 1|Location Subtype 1
12861|D|1|City 390|NORTH|888|Channel 1|Location Subtype 1
12864|D|1|City 352|NORTH|888|Channel 1|Location Subtype 1
12865|D|1|City 390|NORTH|888|Channel 1|Location Subtype 1
12868|D|1|City 390|NORTH|888|Channel 1|Location Subtype 1
12873|D|1|City 874|NORTH|888|Channel 1|Location Subtype 1
12875|D|1|City 766|NORTH|888|Channel 1|Location Subtype 1
12876|D|1|City 773|NORTH|888|Channel 1|Location Subtype 1
12877|D|1|City 773|NORTH|888|Channel 1|Location Subtype 1
12884|D|1|City 835|NORTH|888|Channel 1|Location Subtype 1
12885|D|1|City 835|NORTH|888|Channel 1|Location Subtype 1
12887|D|1|City 933|NORTH|888|Channel 1|Location Subtype 1
12898|D|1|City 398|NORTH|888|Channel 1|Location Subtype 1
12899|D|1|City 398|NORTH|888|Channel 1|Location Subtype 1
12900|D|1|City 203|NORTH|888|Channel 1|Location Subtype 1
12902|D|1|City 849|NORTH|888|Channel 1|Location Subtype 1
12904|D|1|City 665|NORTH|888|Channel 1|Location Subtype 1
12905|D|1|City 398|NORTH|888|Channel 1|Location Subtype 1
12907|D|1|City 398|NORTH|888|Channel 1|Location Subtype 1
12913|D|1|City 398|NORTH|888|Channel 1|Location Subtype 1
12914|D|1|City 398|NORTH|888|Channel 1|Location Subtype 1
12916|D|1|City 887|NORTH|888|Channel 1|Location Subtype 1
12917|D|1|City 398|NORTH|888|Channel 1|Location Subtype 1
12918|D|1|City 398|NORTH|888|Channel 1|Location Subtype 1
12922|D|1|City 887|NORTH|888|Channel 1|Location Subtype 1
12519|D|1|City 913|NORTH|888|Channel 1|Location Subtype 1
12634|D|1|City 201|NORTH|888|Channel 1|Location Subtype 1
12639|D|1|City 941|NORTH|888|Channel 1|Location Subtype 1
12640|D|1|City 1058|NORTH|888|Channel 1|Location Subtype 1
12641|D|1|City 941|NORTH|888|Channel 1|Location Subtype 1
12642|D|1|City 1073|NORTH|888|Channel 1|Location Subtype 1
12643|D|1|City 538|NORTH|888|Channel 1|Location Subtype 1
12646|D|1|City 415|NORTH|888|Channel 1|Location Subtype 1
12648|D|1|City 941|NORTH|888|Channel 1|Location Subtype 1
12652|D|1|City 1066|NORTH|888|Channel 1|Location Subtype 1
12653|D|1|City 941|NORTH|888|Channel 1|Location Subtype 1
12654|D|1|City 1073|NORTH|888|Channel 1|Location Subtype 1
12655|D|1|City 1106|NORTH|888|Channel 1|Location Subtype 1
12658|D|1|City 941|NORTH|888|Channel 1|Location Subtype 1
12663|D|1|City 1109|NORTH|888|Channel 1|Location Subtype 1
12664|D|1|City 941|NORTH|888|Channel 1|Location Subtype 1
12665|D|1|City 941|NORTH|888|Channel 1|Location Subtype 1
12666|D|1|City 418|NORTH|888|Channel 1|Location Subtype 1
12669|D|1|City 450|NORTH|888|Channel 1|Location Subtype 1
12672|D|1|City 941|NORTH|888|Channel 1|Location Subtype 1
12675|D|1|City 558|NORTH|888|Channel 1|Location Subtype 1
12677|D|1|City 34|NORTH|888|Channel 1|Location Subtype 1
12680|D|1|City 270|NORTH|888|Channel 1|Location Subtype 1
12681|D|1|City 270|NORTH|888|Channel 1|Location Subtype 1
12682|D|1|City 834|NORTH|888|Channel 1|Location Subtype 1
12685|D|1|City 931|NORTH|888|Channel 1|Location Subtype 1
12686|D|1|City 834|NORTH|888|Channel 1|Location Subtype 1
12690|D|1|City 873|NORTH|888|Channel 1|Location Subtype 1
12693|D|1|City 368|NORTH|888|Channel 1|Location Subtype 1
12698|D|1|City 834|NORTH|888|Channel 1|Location Subtype 1
12699|D|1|City 834|NORTH|888|Channel 1|Location Subtype 1
12701|D|1|City 12|NORTH|888|Channel 1|Location Subtype 1
12703|D|1|City 834|NORTH|888|Channel 1|Location Subtype 1
12704|D|1|City 834|NORTH|888|Channel 1|Location Subtype 1
12705|D|1|City 834|NORTH|888|Channel 1|Location Subtype 1
12707|D|1|City 904|NORTH|888|Channel 1|Location Subtype 1
12708|D|1|City 979|NORTH|888|Channel 1|Location Subtype 1
12710|D|1|City 862|NORTH|888|Channel 1|Location Subtype 1
12712|D|1|City 360|NORTH|888|Channel 1|Location Subtype 1
12715|D|1|City 577|NORTH|888|Channel 1|Location Subtype 1
12716|D|1|City 329|NORTH|888|Channel 1|Location Subtype 1
12725|D|1|City 728|NORTH|888|Channel 1|Location Subtype 1
12726|D|1|City 728|NORTH|888|Channel 1|Location Subtype 1
12727|D|1|City 556|NORTH|888|Channel 1|Location Subtype 1
12732|D|1|City 237|NORTH|888|Channel 1|Location Subtype 1
12733|D|1|City 923|NORTH|888|Channel 1|Location Subtype 1
12734|D|1|City 150|NORTH|888|Channel 1|Location Subtype 1
12735|D|1|City 937|NORTH|888|Channel 1|Location Subtype 1
12736|D|1|City 937|NORTH|888|Channel 1|Location Subtype 1
12740|D|1|City 130|NORTH|888|Channel 1|Location Subtype 1
12743|D|1|City 937|NORTH|888|Channel 1|Location Subtype 1
12744|D|1|City 728|NORTH|888|Channel 1|Location Subtype 1
12745|D|1|City 789|NORTH|888|Channel 1|Location Subtype 1
12747|D|1|City 728|NORTH|888|Channel 1|Location Subtype 1
12748|D|1|City 728|NORTH|888|Channel 1|Location Subtype 1
12750|D|1|City 215|NORTH|888|Channel 1|Location Subtype 1
12759|D|1|City 891|NORTH|888|Channel 1|Location Subtype 1
12762|D|1|City 802|NORTH|888|Channel 1|Location Subtype 1
12763|D|1|City 937|NORTH|888|Channel 1|Location Subtype 1
12764|D|1|City 937|NORTH|888|Channel 1|Location Subtype 1
12766|D|1|City 479|NORTH|888|Channel 1|Location Subtype 1
12768|D|1|City 937|NORTH|888|Channel 1|Location Subtype 1
12769|D|1|City 1106|NORTH|888|Channel 1|Location Subtype 1
12927|D|1|City 1029|NORTH|888|Channel 1|Location Subtype 1
12931|D|1|City 36|NORTH|888|Channel 1|Location Subtype 1
12932|D|1|City 601|NORTH|888|Channel 1|Location Subtype 1
12935|D|1|City 1076|NORTH|888|Channel 1|Location Subtype 1
12937|D|1|City 766|NORTH|888|Channel 1|Location Subtype 1
12938|D|1|City 390|NORTH|888|Channel 1|Location Subtype 1
12939|D|1|City 390|NORTH|888|Channel 1|Location Subtype 1
12940|D|1|City 361|NORTH|888|Channel 1|Location Subtype 1
12521|D|1|City 774|NORTH|888|Channel 1|Location Subtype 1
12523|D|1|City 1041|NORTH|888|Channel 1|Location Subtype 1
12525|D|1|City 1041|NORTH|888|Channel 1|Location Subtype 1
12527|D|1|City 1041|NORTH|888|Channel 1|Location Subtype 1
12528|D|1|City 488|NORTH|888|Channel 1|Location Subtype 1
12530|D|1|City 1041|NORTH|888|Channel 1|Location Subtype 1
12533|D|1|City 1041|NORTH|888|Channel 1|Location Subtype 1
12536|D|1|City 1041|NORTH|888|Channel 1|Location Subtype 1
12540|D|1|City 693|NORTH|888|Channel 1|Location Subtype 1
12541|D|1|City 204|NORTH|888|Channel 1|Location Subtype 1
12544|D|1|City 671|NORTH|888|Channel 1|Location Subtype 1
12545|D|1|City 997|NORTH|888|Channel 1|Location Subtype 1
12547|D|1|City 97|NORTH|888|Channel 1|Location Subtype 1
12551|D|1|City 815|NORTH|888|Channel 1|Location Subtype 1
12554|D|1|City 399|NORTH|888|Channel 1|Location Subtype 1
12556|D|1|City 445|NORTH|888|Channel 1|Location Subtype 1
12559|D|1|City 19|NORTH|888|Channel 1|Location Subtype 1
12562|D|1|City 615|NORTH|888|Channel 1|Location Subtype 1
12571|D|1|City 1041|NORTH|888|Channel 1|Location Subtype 1
12577|D|1|City 1062|NORTH|888|Channel 1|Location Subtype 1
12582|D|1|City 103|NORTH|888|Channel 1|Location Subtype 1
12583|D|1|City 3|NORTH|888|Channel 1|Location Subtype 1
12584|D|1|City 725|NORTH|888|Channel 1|Location Subtype 1
12585|D|1|City 920|NORTH|888|Channel 1|Location Subtype 1
12586|D|1|City 1062|NORTH|888|Channel 1|Location Subtype 1
12587|D|1|City 1062|NORTH|888|Channel 1|Location Subtype 1
12588|D|1|City 1062|NORTH|888|Channel 1|Location Subtype 1
12592|D|1|City 711|NORTH|888|Channel 1|Location Subtype 1
12595|D|1|City 45|NORTH|888|Channel 1|Location Subtype 1
12597|D|1|City 660|NORTH|888|Channel 1|Location Subtype 1
12599|D|1|City 45|NORTH|888|Channel 1|Location Subtype 1
12601|D|1|City 711|NORTH|888|Channel 1|Location Subtype 1
12602|D|1|City 711|NORTH|888|Channel 1|Location Subtype 1
12603|D|1|City 896|NORTH|888|Channel 1|Location Subtype 1
12604|D|1|City 564|NORTH|888|Channel 1|Location Subtype 1
12608|D|1|City 711|NORTH|888|Channel 1|Location Subtype 1
12609|D|1|City 501|NORTH|888|Channel 1|Location Subtype 1
12770|D|1|City 941|NORTH|888|Channel 1|Location Subtype 1
